termino,etiqueta,significado,traduccion_1,traduccion_2,traduccion_3,traduccion_4,
Ngaina,Sustantivo,"Gallina, hembra del gallo.",Gallina,,,,
Ngaínaso,Sustantivo,"Gallinazo, ave carroñera, generalmente negra.",Gallinazo,,,,
Ngaineta,Sustantivo,"Gallineta, tipo de ave similar a la gallina.",Gallineta,,,,
Ngájo,Sustantivo,"Gajo, trozo o pedazo de algo, generalmente fruta.",Gajo,,,,
Ngalá,Verbo infinitivo,"Agarrar, sujetar o tomar algo con las manos.",Agarrar,,,,
Ngalapata,Sustantivo,"Garrapata, parásito que se adhiere a los animales.",Garrapata,,,,
Ngaléno,Imperativo plural,"Agarren, sujeten o tomen algo con las manos.",Agarren,,,,
Ngalera,Sustantivo,"Solo, espacio vacío o sin ocupar.",Solo,,,,
Ngalúcha,Verbo infinitivo,"Ir de prisa, correr o moverse rápidamente.",Ir de prisa,Estampida,,,
Ngalúchéno,Imperativo plural,"Vayan de prisa, corran o muévanse rápidamente.",Vayan de prisa,Estampen,,,
Ngánde,Adjetivo,"Grande, de tamaño considerable.",Grande,,,,
Ngandila,Verbo infinitivo,"Velar, observar o cuidar durante la noche.",Velar,,,,
Ngandiléno,Imperativo plural,"Velen, observen o cuiden durante la noche.",Velen,,,,
Nganga,Sustantivo,"Brujo mayor, diablo, persona con poderes mágicos.",Brujo mayor,Diablo,,,
Ngangú,Sustantivo,"Aseguranza, acción de asegurar algo.",Aseguranza,,,,
Ngañote,Sustantivo,"Garganta, parte del cuerpo que conecta la boca con el esófago.",Garganta,,,,
Ngarabato,Sustantivo,"Gancho, herramienta para enganchar algo.",Gancho,,,,
Ngato,Sustantivo,"Gato, animal doméstico.",Gato,,,,
Ngayo,Sustantivo,"Gallo, ave macho que canta.",Gallo,,,,
Ngende,Sustantivo,"Gente, personas que forman un grupo.",Gente,,,,
Nglasia,Interjección,"Gracias, expresión de gratitud.",Gracias,,,,
Nglorifiká,Verbo infinitivo,"Glorificar, dar honra o veneración.",Glorificar,,,,
Nglorifikéno,Imperativo plural,"Glorifiquen, den honra o veneración.",Glorifiquen,,,,
Ngobeno,Sustantivo,"Gobierno, autoridad o sistema político.",Gobierno,,,,
Ngofio,Sustantivo,"Bollo de maíz blanco, tipo de comida.",Bollo de maíz,,,,
Ngolá,Adjetivo,"Gorda, de gran tamaño o peso.",Gorda,,,,
Ngolo,Adjetivo,"Gordo, de mucha masa corporal.",Gordo,,,,
Ngombe,Sustantivo,"Ganado, conjunto de animales domesticados para la producción.",Ganado,,,,
Ngómbe,Sustantivo,"Vaca, hembra del toro.",Vaca,,,,
Ngombechamonika,Sustantivo,"Caracol, molusco con concha espiral.",Caracol,,,,
Ngonbé,Verbo infinitivo,"Volver, retornar al lugar de origen.",Volver,,,,
Ngonbéno,Imperativo plural,Vuelvan o retornen al lugar de origen.,Vuelvan,,,,
Ngongochi,Sustantivo,"Gusano, insecto larval de ciertos animales.",Gusano,,,,
Ngongoló,Sustantivo,"Ciempiés, insecto de muchos segmentos corporales.",Ciempiés,,,,
Ngoppiá,Verbo infinitivo,"Golpear, dar un golpe o impacto a algo o alguien.",Golpear,,,,
Ngoppiéno,Imperativo plural,Golpeen o den un golpe o impacto a algo o alguien.,Golpeen,,,,
Ngoso,Sustantivo,"Gozo, alegría o satisfacción.",Gozo,,,,
Ngota,Sustantivo,"Gota, pequeña cantidad de un líquido.",Gota,,,,
Ngotiá,Verbo infinitivo,"Gotear, caer en gotas, generalmente un líquido.",Gotear,,,,
Ngotiéno,Imperativo plural,"Goteen, dejen caer en gotas, generalmente un líquido.",Goteen,,,,
Ngozá,Verbo infinitivo,"Gozar, disfrutar de algo.",Gozar,,,,
Ngozéno,Imperativo plural,Gocen o disfruten de algo.,Gocen,,,,
Ngrio,Sustantivo,"Grillo, insecto de cuerpo alargado y patas largas.",Grillo,,,,
Ngritá,Verbo infinitivo,"Gritar, emitir un sonido fuerte o ruidoso.",Gritar,,,,
Ngriténo,Imperativo plural,Griten o emitan un sonido fuerte o ruidoso.,Griten,,,,
Ngualá,Verbo infinitivo,"Guardar, poner algo en un lugar seguro.",Guardar,,,,
Ngualéno,Imperativo plural,"Guarden, pongan algo en un lugar seguro.",Guarden,,,,
Ngubá,Sustantivo,"Maíz, cereal originario de América.",Maíz,,,,
Nguinéo,Sustantivo,"Guineo verde, plátano inmaduro.",Guineo verde,,,,
Ngulukulú,Adjetivo,"Bruto, grosero o tosco en trato o comportamiento.",Bruto,,,,
Ngumba,Sustantivo,"Maní, planta leguminosa de la que se obtiene el cacahuate.",Maní,,,,
Ngumbasú,Sustantivo,"Bola de maní, golosina hecha de maní.",Bola de maní,,,,
Ngunga,Sustantivo,"Campana, instrumento que emite un sonido fuerte.",Campana,,,,
Ngungú,Verbo infinitivo,"Informar, comunicar algo a otra persona.",Informar,,,,
Ngungúeno,Imperativo plural,Informen o comuniquen algo a otra persona.,Informen,,,,
Ngúrria,Sustantivo,"Termita, insecto que se alimenta de madera.",Termita,,,,
Ngusalá,Sustantivo,"Comida salada, alimentos con alto contenido de sal.",Comida salada,,,,
Ngusano,Sustantivo,"Gusano, larva de insectos.",Gusano,,,,
Ngutá,Verbo infinitivo,"Gustar, agradar o placer hacia algo.",Gustar,,,,
Nguténo,Imperativo plural,"Gusten, agraden o den placer hacia algo.",Gusten,,,,
Nigua,Sustantivo,"Insecto, pequeño artrópodo que puede ser parásito.",Insecto,,,,
Nimaliá,Verbo infinitivo,"Provocar, incitar una reacción o acción.",Provocar,,,,
Nimaliéno,Imperativo plural,"Provocar, inciten una reacción o acción.",Provocan,,,,
Nimao,Sustantivo,"Animal, ser vivo del reino animal.",Animal,,,,
Nketo,Sustantivo,"Esposa, mujer en relación con su esposo.",Esposa,,,,
No,Pronombre,"Después del verbo, para que recaiga la acción sobre la segunda persona singular (EN/AN).",,,,,
Nolíngo,Número,"Nueve, cantidad de elementos.",Nueve,,,,
Npénka,Adjetivo,"Que no lleva ropa, desnudo.",Desnudo,,,,
Nsusú,Sustantivo,"Desecho, basura o sobrante.",Desecho,Basura,,,
Nu,Adverbio / Marcador negativo,"No, negación o contraposición. Usado en combinación con el verbo en imperativo para negar una acción, tanto en singular como plural. Se coloca antes del verbo para indicar que la acción no debe realizarse. / se coloca al final de la oración para indicar la negación. Sin embargo, según el contexto y la intención del hablante, ""nu"" puede ocupar otras posiciones enfáticas en la frase. Es el adverbio de negación que, al ubicarse al final o en otras posiciones enfáticas, niega la acción del verbo.",No,,,,
Nu,Negativo/Nulo,"No, negación absoluta.",No,Negativo,Nulo,,
Nublá,Verbo infinitivo,"Nublar, cubrir de nubes el cielo.",Nublar,,,,
Nubléno,Imperativo plural,Nublen o cubran de nubes el cielo.,Nublen,,,,
Nuebo,Adjetivo,"Nuevo, que acaba de ser creado o descubierto.",Nuevo,,,,
Numana,Sustantivo,"Hermana, mujer que comparte los mismos padres.",Hermana,,,,
Numano,Sustantivo,"Hermano, hombre que comparte los mismos padres.",Hermano,,,,
Nungá,Verbo infinitivo,"Comprar, adquirir algo a cambio de dinero.",Comprar,,,,
Nungéno,Imperativo plural,"Compren, adquieran algo a cambio de dinero.",Compren,,,,
Nunka,Adverbio,"Nunca, en ningún momento.",Nunca,,,,
Nusikija,Sustantivo,"Repetición, acto de hacer algo de nuevo.",Repetición,,,,
Ña,Sustantivo,"Señora, mujer de respeto o autoridad.",Señora,,,,
Ñagúsa,Sustantivo,"Valentía, coraje o atrevimiento.",Valentía,Atrevimiento,,,
Ñakunga,Sustantivo,"Mujer, persona de género femenino.",Mujer,,,,
Ñamá,Verbo infinitivo,"Llamar, convocar o invocar a alguien.",Llamar,,,,
Ñaméno,Imperativo plural,"Llamen, convoquen o invoquen a alguien.",Llamen,,,,
Ñangá,Verbo infinitivo,"Comer despacio, comer con estilo.",Comer despacio,Comer con estilo,,,
Ñangéno,Imperativo plural,Coman despacio o con estilo.,Coman despacio,Coman con estilo,,,
Ñángo,Sustantivo,"Ano, parte del cuerpo humano o animal.",Ano,,,,
Ñaturumba,Sustantivo,"Plancha de carbón, herramienta de calor.",Plancha de carbón,,,,
Ñebbo,Sustantivo,"Cordón umbilical, nervio que conecta al feto con la madre.",Cordón umbilical,Nervio,,,
Ñeke,Sustantivo,"Ron, bebida alcohólica destilada.",Ron,,,,
Ñéngue,Adjetivo,"Enfermiza, cadavérica, desencajada.",Enfermiza,Cadavérico,Desencajado,,
Ñeto,Sustantivo,"Nieto, hijo de los hijos.",Nieto,,,,
Ñia,Sustantivo,"Compañero, partidario, alguien que acompaña o apoya.",Compañero,Partidario,,,
Ñikío,Adjetivo,"Arrugado, ajado, algo que se ha estropeado por el tiempo.",Arrugado,Ajado,,,
Ñimba,Sustantivo,"Pellejo de gallina, piel o capa externa de la gallina.",Pellejo de gallina,,,,
Ñingá,Sustantivo,"Heces fecales, excrementos.",Heces fecales,Excrementos,,,
Ñingota,Sustantivo,"Reverencia, veneración, respeto profundo.",Reverencia,Veneración,,,
Ñingotá,Verbo infinitivo,"Echarse, tirarse en el suelo o en una posición cómoda.",Echarse,,,,
Ñingotiéno,Imperativo plural,Échense o tírense en el suelo o en una posición cómoda.,Échense,,,,
Ñirílo,Adjetivo,"Lleno, completo, cubierto.",Lleno,,,,
Ñíro,Sustantivo,"Nido, lugar donde las aves ponen sus huevos.",Nido,,,,
Ño,Título,"Señor, título de respeto hacia un hombre.",Señor,,,,
Ñoco,Adjetivo,"Ciego, que no puede ver.",Ciego,,,,
Ñoma,Sustantivo,"Llaga, herida que se forma en la piel.",Llaga,,,,
Ñongoñongéno,Imperativo plural,Hagan el amor o realicen un acto sexual.,Hagan el amor,,,,
Ñongoñongo,Verbo infinitivo,"Hacer el amor, realizar un acto sexual.",Hacer el amor,,,,
Ñoña,Sustantivo,"Herida, generalmente superficial.",Herida,,,,
Ñoñona,Sustantivo,Herida con pérdida de tejido en la piel.,Herida,Pérdida de tejido,,,
Ñopo,Adjetivo,"Quemado, algo que ha sido afectado por el fuego o está irregular.",Quemado,Irregular,,,
O,Sustantivo,"Cero, cantidad nula.",Cero,,,,
Obíppo,Sustantivo,"Sacerdote de alto rango, líder religioso.",Sacerdote,Alto rango,,,
Oddená,Verbo infinitivo,"Ordenar, dar instrucciones o estructurar.",Ordenar,,,,
Oddenéno,Imperativo plural,Ordenen o den instrucciones.,Ordenen,,,,
Ojiá,Verbo infinitivo,"Ojear, mirar de forma rápida o superficial.",Ojear,Echar mal de ojo,,,
Ojiéno,Imperativo plural,Ojeen o miren de forma rápida o superficial.,Ojeen,Echen mal de ojo,,,
Ojo,Sustantivo,"Ojo, órgano de la vista.",Ojo,,,,
Oléja,Sustantivo,"Oreja, parte del cuerpo usada para oír.",Oreja,,,,
Olelee,Expresión,Expresión de dolor o queja.,Expresión de dolor,,,,
Ombbe,Sustantivo,"Hombre, persona de sexo masculino.",Hombre,,,,
Ombriao,Sustantivo,"Poder mágico-religioso, relacionado con prácticas espirituales.",Poder mágico,,,,
Ommíga,Sustantivo,"Hormiga, insecto social que vive en colonias.",Hormiga,,,,
Ónde,Pronombre,"Dónde, pregunta sobre ubicación.",Dónde,,,,
Ondi,Adverbio,Indica el lugar en que ocurre algo.,Donde,En el lugar que,,,
Onnína,Sustantivo,"Horno, artefacto usado para calentar o cocinar.",Horno,,,,
Orá,Adjetivo,"Oral, relacionado con la boca o hablado.",Oral,,,,
Orejiá,Verbo infinitivo,"Oír, percibir los sonidos a través del oído.",Oír,,,,
Orejiéno,Imperativo plural,Oigan o perciban los sonidos a través del oído.,Oigan,,,,
Orisontá,Adjetivo,"Horizontal, en línea recta de lado a lado.",Horizontal,,,,
Ororó,Sustantivo,"Albahaca, planta aromática.",Albahaca,,,,
Óya,Sustantivo,"Olla, recipiente usado para cocinar.",Olla,,,,
P’é,Pronombre personal (enclítico),"Forma apocopada de PA ÉLE, usada como pronombre relativo o de objeto directo para él/ella en las cláusulas subordinadas.",Para él/ella,Para que él/ella,,,
P’i,Pronombre personal (enclítico),"Forma apocopada de PA I, usada como pronombre relativo o de objeto directo para yo en las cláusulas subordinadas.",Para mí,Para que yo,,,
P’ó,Pronombre personal (enclítico),"Forma apocopada de PA BO, usada como pronombre relativo o de objeto directo para tú en las cláusulas subordinadas.",Para ti,Para que tú,,,
Pa,Preposición / Nexo subordinante ,"Para, en dirección a o con el objetivo de. / Conector que introduce cláusulas subordinadas sustantivas de objeto directo, seguido de un verbo en infinitivo.",Para,,,,
Pabo,Sustantivo,"Pavo, ave de granja.",Pavo,,,,
Pácha,Sustantivo,"Pez pequeño, como la mojarras.",Pez pequeño,Mojarra,,,
Pachotá,Sustantivo,"Grosería, expresión vulgar o inapropiada.",Grosería,Grosero,,,
Pae,Sustantivo,"Papá, padre.",Papá,,,,
Pagá,Verbo infinitivo,"Pagar, entregar dinero o compensación.",Pagar,,,,
Pagiéno,Imperativo plural,Paguen o entreguen dinero o compensación.,Paguen,,,,
Paléngue,Sustantivo,"Palenque, comunidad tradicional afrocolombiana.",Palenque,,,,
Palenkéra,Sustantivo,"Palenquera, mujer de un palenque.",Palenquera,,,,
Palenkéro,Sustantivo,"Palenquero, hombre de un palenque.",Palenquero,,,,
Palitronká,Sustantivo,"Valla de madera, cerca que se utiliza como barrera.",Valla de madera,Cerca,,,
Pálo,Sustantivo,"Árbol, planta grande y perenne.",Árbol,,,,
Pampliná,Sustantivo,"Grosería, expresión vulgar o despectiva.",Grosería,,,,
Pándo,Adjetivo,"Torcido, algo que no está recto o está doblado.",Torcido,,,,
Panpliná,Sustantivo,"Desprecio, insolencia o arrogancia.",Desprecio,Insolencia,Arrogancia,,
Paraje,Sustantivo,"Lugar, parte o sitio.",Lugar,Parte,Sitio,,
Parejera,Sustantivo,"Contrincante, rival en una competencia.",Contrincante,,,,
Patí,Verbo infinitivo,"Partir, dividir o separarse.",Partir,,,,
Patokuchara,Sustantivo,"Sinvergüenza, ladino, persona que actúa sin ética.",Sinvergüenza,Entrometido,Ladino,,
Patrimonia,Sustantivo,"Patrimonio, bienes o riqueza heredados o culturales.",Patrimonio,,,,
Pátte,Sustantivo,"Parte, una porción de algo.",Parte,,,,
Pattiéno,Imperativo plural,Partan o dividan algo.,Partan,,,,
Paudruko,Sustantivo,"Entrometido, persona que se inmiscuye en asuntos ajenos.",Entrometido,,,,
Pechiche,Sustantivo,"Tambor de lumbalú, instrumento musical tradicional.",Tambor de lumbalú,,,,
Pecholá,Sustantivo,"Garantía, algo que asegura el cumplimiento de algo.",Garantía,,,,
Pegáña,Sustantivo,"Gemelos pegados, dos en uno, personas o cosas unidas.",Gemelos pegados,Dos en uno,,,
Pegasáya,Sustantivo,"Sentimiento de amistad, la conexión profunda entre amigos.",Sentimiento de amistad,,,,
Pegatíro,Adjetivo,"Aprovechado, persona que se beneficia excesivamente de otros.",Aprovechado,,,,
Pegóste,Sustantivo,"Meticón, persona indiscreta o que se entromete en los asuntos ajenos.",Indiscreto,Meticón,,,
Pejúro,Adjetivo,"Torpe, insistente, intenso, terco.",Torpe,Insistente,Terco,,
Pekáo,Sustantivo,"Pescado, pez, alimento proveniente de especies acuáticas.",Pescado,Pez,,,
Pekueso,Sustantivo,"Garganta, cuello, parte del cuerpo humano o animal.",Garganta,Cuello,,,
Pela,Sustantivo,"Perra, animal doméstico de la especie canina.",Perra,,,,
Pelé,Verbo infinitivo,"Perder, quedar sin algo que se tenía.",Perder,,,,
Peléno,Imperativo plural,Pierdan o queden sin algo que tenían.,Pierdan,,,,
Pélo,Sustantivo,"Perro, animal doméstico canino.",Perro,,,,
Pemmití,Verbo infinitivo,"Permitir, dar consentimiento o autorización.",Permitir,,,,
Pemmitíeno,Imperativo plural,Permitan o den consentimiento o autorización.,Permitan,,,,
Pendolá,Sustantivo,"Disgusto, pena, molestia, algo que causa incomodidad.",Disgusto,Pena,Molestia,Dañino,
Penene,Sustantivo,"Puesto, lugar o ubicación de algo.",Puesto,,,,
Pengonko,Sustantivo,"Permiso, autorización para realizar algo.",Permiso,,,,
Penkiá,Verbo infinitivo,"Ganar, lograr alcanzar algo.",Ganar,Lograr,,,
Penkiéno,Imperativo plural,Ganen o logren alcanzar algo.,Ganen,Logren,,,
Pensá,Verbo infinitivo,"Pensar, usar la mente para razonar o reflexionar.",Pensar,,,,
Pensiéno,Imperativo plural,Piensen o usen la mente para razonar o reflexionar.,Piensen,,,,
Pepita,Sustantivo,"Vocifera, persona que habla en voz alta o grita.",Vocifera,,,,
Períngo,Sustantivo,"Bollo pequeño, alimento redondo y esponjoso.",Bollo pequeño,,,,
Perío,Sustantivo,"Pedido, solicitud de algo.",Pedido,,,,
Perreopita,Sustantivo,"Contrincante apropiado, rival adecuado.",Contrincante,,,,
Petá,Verbo infinitivo,"Despertar, hacer que alguien se despierte.",Despertar,,,,
Peténo,Imperativo plural,Despierten o hagan que alguien se despierte.,Despierten,,,,
Petta,Adjetivo,"Berraca, persona fuerte, valiente.",Berraca,,,,
Peyéjo,Sustantivo,"Pellejo, piel o capa externa de un animal.",Pellejo,,,,
Pía,Verbo infinitivo,"Expulsar gases, acción de liberar gases intestinales.",Expulsar gases,,,,
Piacha,Sustantivo,"Profesor, persona encargada de enseñar.",Profesor,,,,
Piangulí,Sustantivo,"Cerdo, animal domesticado utilizado como alimento.",Cerdo,,,,
Piazo,Sustantivo,"Pedazo, porción o fragmento de algo.",Pedazo,,,,
Pié,Sustantivo,"Pata, extremidad inferior de un animal.",Pata,,,,
Piegra,Sustantivo,"Piedra, elemento natural sólido.",Piedra,,,,
Piénna,Sustantivo,"Pierna, parte del cuerpo que se encuentra entre la cadera y el tobillo.",Pierna,,,,
Píéno,Imperativo plural,Expulsen gases o liberen gases intestinales.,Expulsen gases,,,,
Piésa,Sustantivo,"Pista musical, composición o conjunto de sonidos.",Pista musical,,,,
Píko,Sustantivo,"Pico, la parte puntiaguda de un ave o de un objeto.",Pico,,,,
Pikuéta,Sustantivo,"Asañosería, actividad relacionada con lo artesanal.",Asañosería,,,,
Pikuetéro,Adjetivo,"Hazañoso, persona que realiza hazañas o actos heroicos.",Hazañoso,,,,
Pilamoka,Adjetivo,"Pendiente, atento, que está observando o esperando.",Pendiente,Atento,,,
Pilingó,Número,"Siete, cantidad de elementos.",Siete,,,,
Piló,Sustantivo,"Pilón, recipiente grande y ancho.",Pilón,,,,
Pindán,Verbo infinitivo,"Golpear contra el piso, pisar o marcar algo.",Golpear contra el piso,Pisar,Marcar,,
Pindangán,Verbo infinitivo,"Chocar, encontrarse o impactar con algo.",Chocar,,,,
Pindangéno,Imperativo plural,Choquen o encuentren algo.,Choquen,,,,
Pindéno,Imperativo plural,Golpeen contra el piso o pisen algo.,Golpeen contra el piso,Pisen,Marquen,,
Pínga,Sustantivo,Órgano genital masculino.,Órgano genital,Masculino,,,
Piololó,Adjetivo,"Escaso de dinero, pobre, necesitado.",Escaso de dinero,Pobre,Necesitado,,
Pirí,Verbo infinitivo,"Pedir, solicitar algo de alguien.",Pedir,,,,
Piríéno,Imperativo plural,Pidan o soliciten algo a alguien.,Pidan,,,,
Pitónga,Sustantivo,"Avispa que hace hoyos en la tierra, alfarera.",Avispa,Alfarera,,,
Plana,Sustantivo,"Tarea, trabajo o deber.",Tarea,,,,
Plandá,Sustantivo,"Plátano, fruto comestible de una planta tropical.",Plátano,,,,
Plása,Sustantivo,"Plaza, espacio público abierto.",Plaza,,,,
Plundá,Verbo infinitivo,Preguntar,,,,,
Plundéno,Imperativo plural,Pregunten.,Pre gunten,,,,
Po,Preposición,"Por, indica causa o motivo.",Por,,,,
Poblaro,Sustantivo,"Poblado, asentamiento de personas.",Poblado,,,,
Pofía,Sustantivo,"Discusión, enfrentamiento verbal.",Discusión,,,,
Poito,Sustantivo,"Pollito, cría de un ave como el pollo.",Pollito,,,,
Pókke,Conjunción,"Porque, indica la causa o razón de algo.",Porque,Debido a que,,,
Póla,Sustantivo,"Sangre, líquido vital que circula en el cuerpo.",Sangre,,,,
Polé,Sustantivo,"Poder, fuerza o capacidad de hacer algo.",Poder,,,,
Polisía,Sustantivo,"Policía, cuerpo de seguridad pública.",Policía,,,,
Polítiko,Sustantivo,"Político, persona que se dedica a la política.",Político,,,,
Pondonó,Sustantivo,"Vergüenza, sentimiento de deshonor o humillación.",Vergüenza,,,,
Ponína,Sustantivo,"Aporte, contribución; pago que se hacía en los bailes.",Aporte,Pago de entrada,,,
Póro,Conjunción,"Pero, palabra que introduce una contradicción.",Pero,,,,
Porriá,Verbo infinitivo,"Lavar, limpiar algo con agua o detergente.",Lavar,,,,
Porriéno,Imperativo plural,Laven o limpien algo con agua o detergente.,Laven,,,,
Posá,Sustantivo,"Casa, hogar, lugar de residencia.",Casa,,,,
Posendro,Sustantivo,"Cuarto, habitación.",Cuarto,,,,
Posíma,Sustantivo,"Pócima, mezcla o brebaje utilizado con fines medicinales o rituales.",Pócima,,,,
Potio,Sustantivo,"Pocillo, pequeño recipiente para beber.",Pocillo,,,,
Potranko,Sustantivo,"Potro, caballo joven.",Potro,,,,
Pottá,Verbo infinitivo,"Portar, llevar algo de un lugar a otro.",Portar,,,,
Potténo,Imperativo plural,Porten o lleven algo de un lugar a otro.,Porten,,,,
Poyanklón,Adjetivo,"Pendejo, tonto o ingenuo.",Pendejo,,,,
Prendé,Verbo infinitivo,"Aprender, adquirir conocimiento.",Aprender,Prender,,,
Prendéno,Imperativo plural,Aprendan o adquieran conocimiento.,Aprendan,Prendan,,,
Priéto,Adjetivo,"Negro, de color oscuro.",Negro,Oscuro,,,
Prímo,Sustantivo,"Primo, hijo de los hermanos de los padres.",Primo,,,,
Prinsipá,Adjetivo,"Principal, lo más importante o fundamental.",Principal,,,,
Profesioná,Adjetivo,"Profesional, relacionado con una profesión.",Profesional,,,,
Prunda,Sustantivo,"Pregunta, interrogación para obtener información.",Pregunta,,,,
Pruto,Sustantivo,"Vergüenza, sentimiento de deshonra.",Vergüenza,,,,
Puchapù,Sustantivo,"Prostituta, persona que ejerce la prostitución.",Prostituta,,,,
Puela,Sustantivo,"Falda, prenda de vestir femenina.",Falda,,,,
Puénde,Sustantivo,"Puente, estructura que conecta dos puntos.",Puente,,,,
Puétta,Sustantivo,"Puerta, abertura o entrada en una pared.",Puerta,,,,
Puntrí,Adverbio,"Casi, por poco.",Casi,Por poco,,,
Rása,Sustantivo,"Raza, grupo de personas con características físicas comunes.",Raza,,,,
Raurrá,Verbo infinitivo,"Deshacer, arruinar, desmenuzar.",Deshacer,Arruinar,Desmenuzar,,
Raurriéno,Imperativo plural,Deshagan o arruinen algo.,Deshagan,Arruinen,Desmenucen,,
Rebentura,Sustantivo,"Desventura, mala suerte o infortunio.",Desventura,,,,
Rebita,Sustantivo,"Revista, publicación periódica.",Revista,,,,
Rebokkáo,Sustantivo,"Cultivo, acción de cultivar la tierra.",Cultivo,,,,
Regañá,Verbo infinitivo,"Regañar, reprender a alguien.",Regañar,,,,
Regañéno,Imperativo plural,Regañen o reprendan a alguien.,Regañen,,,,
Regateá,Sustantivo,"Competencia de baile, enfrentamiento o duelo de baile.",Competencia de baile,,,,
Rei,Sustantivo,"Rey, monarca o gobernante de un reino.",Rey,,,,
Rejá,Verbo infinitivo,"Dejar, permitir que algo ocurra.",Dejar,,,,
Rejéno,Imperativo plural,Dejen o permitan que algo ocurra.,Dejen,,,,
Rekaero,Sustantivo,"Mandadero, persona encargada de llevar mensajes.",Mandadero,,,,
Rekao,Sustantivo,"Mandado, mensaje de regaño o advertencia.",Mandado,Mensaje de regaño,,,
Rékata,Sustantivo,"Periodo de 10 años, década.",Periodo de 10 años,,,,
Rekonkómia,Sustantivo,"Hostilidad, resentimiento o mala voluntad.",Hostilidad,Resentimiento,,,
Rekonosé,Verbo infinitivo,"Reconocer, identificar algo o a alguien.",Reconocer,,,,
Rekonoséno,Imperativo plural,Reconozcan o identifiquen algo o a alguien.,Reconozcan,,,,
Rekúla,Sustantivo,"Camarón de agua dulce, tipo de crustáceo.",Camarón de agua dulce,,,,
Relía,Verbo infinitivo,"Rebuscar, buscar algo con detalle.",Rebuscar,,,,
Relíeño,Imperativo plural,Rebusquen o busquen algo con detalle.,Rebusquen,,,,
Rénje,Preposición,"Desde, indica el inicio de algo.",Desde,,,,
Renujéna,Sustantivo,"Furia violenta, neurosis, irritabilidad extrema.",Furia violenta,Neurosis,,,
Repattí,Verbo infinitivo,"Repartir, distribuir algo entre varias personas.",Repartir,,,,
Repattíeno,Imperativo plural,Repartan o distribuyan algo entre varias personas.,Repartan,,,,
Repetá,Sustantivo,"Respeto, consideración hacia alguien o algo.",Respeto,,,,
Repotte,Sustantivo,"Deporte, actividad física que implica competencia.",Deporte,,,,
Reprendé,Verbo infinitivo,"Desprender, quitar algo de su lugar.",Desprender,,,,
Reprendéno,Imperativo plural,Desprendan o quiten algo de su lugar.,Desprendan,,,,
Repúblika,Sustantivo,"República, estado organizado bajo un gobierno representativo.",República,,,,
Repué,Adverbio,"Después, en un momento posterior.",Después,,,,
Rerécha,Sustantivo,"Derecha, dirección opuesta a la izquierda.",Derecha,,,,
Rerécho,Sustantivo,"Derecho, lo que es legal o justo.",Derecho,,,,
Rerramá,Verbo infinitivo,"Derramar, verter líquido fuera de su recipiente.",Derramar,,,,
Rerraméno,Imperativo plural,Derramen o viertan líquido fuera de su recipiente.,Derram,,,,
Resaparese,Verbo infinitivo,"Desaparecer, dejar de ser visible o perceptible.",Desaparecer,,,,
Resapareséno,Imperativo plural,"Desaparezcan, dejen de ser visibles o perceptibles.",Desaparezcan,,,,
Ri,Preposición,"De, indica posesión o pertenencia.",De,,,,
Ría,Sustantivo,"Día, período de 24 horas.",Día,,,,
Ría,Verbo infinitivo,"Girar, moverse en torno a un eje.",Girar,,,,
Rianche,Sustantivo,"Lucifer, referencia al demonio.",Lucifer,Diablo,,,
Riánche,Sustantivo,"Lucifer o Satanás, entidades malévolas.",Lucifer,Satanás,,,
Ríbá,Adverbio,"Arriba, en dirección hacia lo alto.",Arriba,,,,
Ribiréno,Imperativo plural,"Dividan, separen en partes.",Dividan,,,,
Ribirí,Verbo infinitivo,"Dividir, separar en partes.",Dividir,,,,
Riénde,Sustantivo,"Diente, cada una de las piezas duras de la boca.",Diente,,,,
Riéno,Imperativo plural,"Giren, muévanse en torno a un eje.",Giran,,,,
Rikriminá,Verbo infinitivo,"Discriminar, tratar a alguien de manera desigual.",Discriminar,,,,
Rikriminéno,Imperativo plural,"Discriminen, traten de manera desigual.",Discriminan,,,,
Rinira,Sustantivo,"Dignidad, cualidad de ser digno de respeto.",Dignidad,,,,
Rió,Sustantivo,"Dios, ser supremo en muchas religiones.",Dios,,,,
Rióso,Sustantivo,"Dios, entidad religiosa.",Dios,,,,
Ririjéno,Imperativo plural,"Dirijan, guíen o lideren algo.",Dirijan,,,,
Ririjí,Verbo infinitivo,"Dirigir, guiar o liderar algo.",Dirigir,,,,
Risí,Verbo infinitivo,"Decir, expresar en palabras.",Decir,,,,
Risiéno,Imperativo plural,"Digan, expresen en palabras.",Digan,,,,
Ritáo,Sustantivo,"Dictado, actividad de escribir lo que se dice.",Dictado,,,,
Rituá,Sustantivo,"Ritual, conjunto de actos simbólicos o ceremoniales.",Ritual,,,,
Rocléro,Adjetivo,"Perezoso, que muestra falta de energía o iniciativa.",Perezoso,Flojo,,,
Rodiyo,Sustantivo,Envuelto de tela que se coloca en la cabeza para cargar cosas pesadas.,Carga en la cabeza,,,,
Rokléro,Adjetivo,"Perezoso, flojo.",Perezoso,,,,
Romíngo,Sustantivo,"Domingo, día de la semana.",Domingo,,,,
Rosa,Sustantivo,"Huerta, terreno donde se cultivan plantas.",Huerta,,,,
Rosa,Sustantivo,"Monte, terreno donde se cultivan plantas.",Monte,Sembrado,,,
